array_shape,copy_cells,copy_columns,copy_rows,copy_all
0,100,0.0032869000000346,9.519999980511784e-05,0.0001093000000764,5.000000101063051e-06
1,200,0.0130186000000094,0.000272200000154,0.0002033999999184,4.800000169780105e-06
2,500,0.0830525000000079,0.0012632000000394,0.0005175000001145,2.2700000045006163e-05
3,1000,0.3246578999999201,0.0038950999999087,0.0009729000000788,7.260000006681366e-05
4,2000,1.2922701999999615,0.0673315999999886,0.0030384000001504,0.000991100000192
5,5000,8.406007400000021,0.8716660000000047,0.0127199999999447,0.0070879999998396
6,10000,33.56867979999993,3.8718324999999822,0.0423029999999471,0.0285963000001174
7,20000,,18.551890099999582,0.21958540000014182,0.12282020000020566
8,50000,,185.98217870000008,0.8472572000000582,0.7364836999995532
9,100000,,1098.3243176000005,4.355135300000256,3.1244481999992786
